"","1026","1028","1030","1032","1034","1036","1038","1040","1042","1044","H1","H10","H11","H12","H2","H3","H4","H5","H6","H7","H8","H9"
"MSTRG.111985.1",0,356,0,196,264,292,0,257,218,0,0,0,202,0,409,534,0,274,241,291,0,0
"MSTRG.30847.1",54,39,0,87,39,39,0,140,37,17,0,0,0,66,0,0,0,0,0,0,0,0
"MSTRG.87366.1",118,159,0,64,77,101,152,160,69,73,0,188,112,250,161,233,160,146,143,188,101,0
"MSTRG.100438.1",136,0,0,0,0,173,0,0,135,0,254,145,0,0,0,359,199,0,0,0,0,271
"MSTRG.78171.1",0,168,0,0,134,113,139,0,0,161,0,0,58,0,238,165,0,74,0,135,0,0
"MSTRG.65547.1",128,0,0,88,0,144,119,141,100,65,169,163,86,144,187,207,159,123,142,177,100,0
"MSTRG.49699.1",0,446,0,0,234,59,259,0,0,117,0,0,178,0,307,450,0,389,0,374,0,0
"MSTRG.93821.1",0,104,0,21,55,79,76,0,0,0,0,95,74,0,62,115,0,115,18,109,0,0
"MSTRG.53927.1",88,0,0,82,125,0,70,116,0,0,0,0,73,200,83,177,0,133,0,111,0,0
"MSTRG.101478.1",70,44,66,42,78,58,49,0,37,29,96,41,0,42,157,79,0,0,46,0,102,96
"MSTRG.80814.1",30,29,0,26,32,31,27,45,21,26,28,34,25,40,41,59,42,33,31,37,30,0
"MSTRG.71338.1",0,0,0,53,0,0,0,0,36,44,0,0,40,76,0,101,0,0,76,0,69,0
"MSTRG.70000.3",74,81,0,0,39,0,0,0,0,33,0,0,0,176,0,57,74,54,0,50,0,0
"MSTRG.111622.1",6,25,0,24,7,25,37,35,20,0,19,22,38,24,14,68,8,21,49,37,21,0
"MSTRG.19604.1",59,194,0,82,0,49,0,104,0,26,113,0,0,269,0,0,168,0,0,189,0,0
"MSTRG.71227.1",0,64,0,64,48,57,77,83,56,31,110,0,56,70,92,133,77,65,62,77,74,0
"MSTRG.79098.1",233,0,178,0,167,327,0,0,167,111,197,0,0,0,0,0,0,0,159,0,120,210
"MSTRG.58072.1",35,29,0,9,0,20,26,24,18,15,33,23,22,14,62,46,27,22,13,28,23,0
"MSTRG.67198.1",0,76,0,0,0,111,67,93,56,0,0,80,0,0,0,0,89,54,40,58,0,0
"MSTRG.42702.1",27,20,26,9,24,14,10,0,0,17,48,0,0,28,41,21,0,18,23,17,31,36
"MSTRG.86141.1",14,10,0,15,17,6,19,28,17,12,13,22,26,20,33,35,10,21,28,19,13,0
"MSTRG.29937.1",55,0,78,0,74,39,50,0,0,25,0,114,0,0,127,0,0,0,0,0,70,0
"MSTRG.45959.1",0,104,0,0,113,44,73,0,0,94,0,0,40,0,161,117,24,64,0,53,0,0
"MSTRG.54082.2",0,0,0,0,0,0,245,274,0,0,236,213,0,186,0,388,191,160,108,0,0,0
"MSTRG.84151.1",122,126,103,73,98,66,151,0,101,71,109,133,0,110,233,0,0,0,105,141,72,0
"MSTRG.92205.1",0,46,0,108,0,0,104,0,0,0,0,0,0,0,0,0,0,0,25,28,0,272
